0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/knob/knob-active.js HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/chat/jquery.chat.js HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/todo/jquery.todo.js HTTP/1.1" 200 5555
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/wave/waves.min.js HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/wave/wave-active.js HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/plugins.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/data-table/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/data-table/data-table-act.js HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/js/main.js HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/images/sort_both.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/images/sort_asc.png HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:38 +0900] "GET /Daknawa/resources/admin/fonts/notika-icon.ttf?qzfrsz HTTP/1.1" 200 24080
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:53 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 8306688
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:33:53 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 8241152
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:36:07 +0900] "GET /Daknawa/blacklist.me HTTP/1.1" 200 45945
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:36:07 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:26 +0900] "GET /Daknawa/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:26 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:26 +0900] "GET /Daknawa/ HTTP/1.1" 200 23580
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:26 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:26 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:27 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:28 +0900] "GET /Daknawa/loginPage.me HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:28 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:30 +0900] "POST /Daknawa/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:30 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:30 +0900] "GET /Daknawa/ HTTP/1.1" 200 23565
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:30 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:30 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:31 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:32 +0900] "GET /Daknawa/myPage.me HTTP/1.1" 200 19393
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:32 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:33 +0900] "POST /Daknawa/checkPwd.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:33 +0900] "GET /Daknawa/myInfo.me HTTP/1.1" 200 43596
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:33 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:48 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 10477568
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:48 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 10485760
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:51 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 8036352
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:37:51 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 7938048
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:40:03 +0900] "GET /Daknawa/ HTTP/1.1" 200 23512
